Código_individuo;Latitud_Grados_decimales;Longitud_Grados_decimales;Especie;Sexo;Sitio;Sustrato;Posición_arte;AÑO;Fecha_del_lance;Profundidad_max_(m);LT_(cm);LD_(cm);AD_(rayas)_/_Lprecaudal__o_LS_(tiburones)_cm;Long_Int_clasper_(cm);Calcif._Clasper_(NC-PC-CA);Semen_(Si-No);Peso_total_(g);Phig_(g);Pgon_(g);Pev_(g);Estadío
190614-Ddip_12;24.44585;-110.29802;Dasyatis dipterura;Hembra;La Bonanza;Arena;Fondo;2014;18-jun-14;15 /26;80;40.5;44.5;;;;;167;;;Juvenil
190614-Ddip_13;24.44585;-110.29802;Dasyatis dipterura;Indeterminado;La Bonanza;Arena;Fondo;2014;18-jun-14;15 /26;75;39;42.5;;;;3373.6;144;15;2381.4;Juvenil
190614-Mmun_01;24.44585;-110.29802;Mobula munkiana;Macho;La Bonanza;Arena;Fondo;2014;18-jun-14;15 /26;;69;102;14;CA;No;10886.2;771;368;10432.6;Adulto
190614-Ddip_14;24.44585;-110.29802;Dasyatis dipterura;Hembra;La Bonanza;Arena;Fondo;2014;18-jun-14;15 /26;78;46.5;51;;;;;147;18;;Juvenil
190614-Ddip_15;24.44585;-110.29802;Dasyatis dipterura;Macho;La Bonanza;Arena;Fondo;2014;18-jun-14;15 /26;75;38;41;8;NC;No;;115;29;;Juvenil
190614-Ddip_16;24.44585;-110.29802;Dasyatis dipterura;Hembra;La Bonanza;Arena;Fondo;2014;18-jun-14;15 /26;99;47;52;;;;;246;;;Juvenil
190614-Ddip_17;24.44585;-110.29802;Dasyatis dipterura;Macho;La Bonanza;Arena;Fondo;2014;18-jun-14;15 /26;;42;44;14;CA;Si;;313;107;;Adulto
190614-Ddip_18;24.44585;-110.29802;Dasyatis dipterura;Indeterminado;La Bonanza;Arena;Fondo;2014;18-jun-14;15 /26;94;47;51;;;;;189;35;;Juvenil
190614-Ddip_19;24.44585;-110.29802;Dasyatis dipterura;Macho;La Bonanza;Arena;Fondo;2014;18-jun-14;15 /26;88;45;50;16;CA;Si;;250;201;;Adulto
190614-Ddip_20;24.44585;-110.29802;Dasyatis dipterura;Hembra;La Bonanza;Arena;Fondo;2014;18-jun-14;15 /26;71;39.5;42.5;;;;;200;38;;Juvenil
190614-Rest_02;24.44585;-110.29802;Rhinoptera stendachneri;Macho;La Bonanza;Arena;Fondo;2014;18-jun-14;15 /26;;35;59;6;;No;2778.3;141;;2409.7;Juvenil
190614-Mlon_01;24.44585;-110.29802;Myliobatis longirostris;Hembra;La Bonanza;Arena;Fondo;2014;18-jun-14;15 /26;120;45;69;;;;3814;173;;3587;No definido
190614-Nent_03;24.44585;-110.29802;Narcine entemedor;Hembra;La Bonanza;Arena;Fondo;2014;18-jun-14;15 /26;73;34;35;;;;3628.7;184;256;3156.8;Preñada
190614-Ddip_21;24.44585;-110.29802;Dasyatis dipterura;Hembra;La Bonanza;Arena;Fondo;2014;18-jun-14;15 /26;111;57;67;;;;;526;130;;Adulto
190614-Nent_04;24.44585;-110.29802;Narcine entemedor;Hembra;La Bonanza;Arena;Fondo;2014;18-jun-14;15 /26;66;30;32;;;;3430.3;;78;2778.3;Preñada
190614-Ddip_22;24.44585;-110.29802;Dasyatis dipterura;Hembra;La Bonanza;Arena;Fondo;2014;18-jun-14;15 /26;98;49;53;;;;;233;55;;Juvenil
190614-Nent_05;24.44585;-110.29802;Narcine entemedor;Hembra;La Bonanza;Arena;Fondo;2014;18-jun-14;15 /26;75;33;34;;;;3628.7;107;57;3231.9;Preñada
190614-Ddip_23;24.44585;-110.29802;Dasyatis dipterura;Macho;La Bonanza;Arena;Fondo;2014;18-jun-14;15 /26;74;39;42;11.5;PC;No;;189;37;;Juvenil
190614-Nent_06;24.44585;-110.29802;Narcine entemedor;Hembra;La Bonanza;Arena;Fondo;2014;18-jun-14;15 /26;63;29;29;;;;2976.7;116;;;Adulto
190614-Nent_07;24.44585;-110.29802;Narcine entemedor;Hembra;La Bonanza;Arena;Fondo;2014;18-jun-14;15 /26;69;29;32;;;;3542.7;145;;3005.1;Adulto
190614-Ddip_24;24.44585;-110.29802;Dasyatis longa;Hembra;La Bonanza;Arena;Fondo;2014;18-jun-14;15 /26;;106;102;;;;;306;57;;No definido
190614-Nent_08;24.44585;-110.29802;Narcine entemedor;Hembra;La Bonanza;Arena;Fondo;2014;18-jun-14;15 /26;61;27;29;;;;2041.2;107;;;Adulto
190614-Ddip_25;24.44585;-110.29802;Dasyatis dipterura;Hembra;La Bonanza;Arena;Fondo;2014;18-jun-14;15 /26;69.5;36;40;;;;;113;19;;Juvenil
BM020714-Rste_01;24.20887;-110.50418;Rhinoptera stendachneri;Hembra;Las Cruces;Arena;Fondo;2014;1-jul-14;9.1;76.5;33;55;;;;2500;154;24;2330;Juvenil
BM020714-Rste_02;24.20887;-110.50418;Rhinoptera stendachneri;Hembra;Las Cruces;Arena;Fondo;2014;1-jul-14;9.1;65;24.5;42;;;;1000;86;3;900;Neonato
BM020714-Rste_03;24.20887;-110.50418;Rhinoptera stendachneri;Hembra;Las Cruces;Arena;Fondo;2014;1-jul-14;9.1;;32.2;54;;;;2200;117;18;1900;Juvenil
BM020714-Rste_04;24.20887;-110.50418;Rhinoptera stendachneri;Hembra;Las Cruces;Arena;Fondo;2014;1-jul-14;9.1;;34;56.7;;;;2500;141;8;2200;Juvenil
BM020714-Rpro_01;24.20887;-110.50418;Rhinobatos productus;Macho;Las Cruces;Arena;Fondo;2014;1-jul-14;3.7;55.7;20.7;17.5;9.3;CA;Si;6500;23;9;5500;Adulto
Sin código-analizada en campo;No tomado;#¡VALOR!;Rhizoprionodon spp.;Macho;Las Cruces;Arena;Fondo;2014;1-jul-14;9.1;107.6;;;12.7;CA;;;;200;115;No definido
Sin código-analizada en campo;No tomado;#¡VALOR!;Sphyrna lewini;Hembra;Las Cruces;Arena;Fondo;2014;1-jul-14;3.7;126.5;;;;;;;;;;No definido
BM030714-Mjap_01;24.20887;-110.50418;Mobula japanica;Hembra;Las Cruces;Arena;Fondo;2014;2-jul-14;3.7;107.5;45;80.7;;;;3200;145;28;2800;Juvenil
BM030714-Rste_01;24.20887;-110.50418;Rhinoptera stendachneri;Macho;Las Cruces;Arena;Fondo;2014;2-jul-14;9.1;;37;57.5;4;NC;No;3050;142;53;2600;Juvenil
BM030714-Rpor_01;No tomado;#¡VALOR!;Rhizoprionodon porosus;Macho;Las Cruces;Arena;Fondo;2014;2-jul-14;3.7;103.5;;;11;CA;Si;5100;214;450;4600;Adulto
BM030714-Rpor_02;No tomado;#¡VALOR!;Rhizoprionodon porosus;Macho;Las Cruces;Arena;Fondo;2014;2-jul-14;3.7;102.5;;;11;CA;Si;4600;124;122;4100;Adulto
BM030714-Rpor_03;No tomado;#¡VALOR!;Rhizoprionodon porosus;Macho;Las Cruces;Arena;Fondo;2014;2-jul-14;3.7;108;;;11.5;CA;Si;5600;198;129;5000;Adulto
BM030714-Rpor_04;No tomado;#¡VALOR!;Rhizoprionodon porosus;Macho;Las Cruces;Arena;Fondo;2014;2-jul-14;3.7;97;;;11;CA;Si;4600;225;120;;Adulto
Sin código-para colección;No tomado;#¡VALOR!;N. velox o C. porosus;Macho;Las Cruces;Arena;Fondo;2014;2-jul-14;9.1;63.3;;;2.5;NC;No;1100;;;;Juvenil
B040714-Rpro_01;24.20887;-110.50418;Rhinobatos productus;Macho;Las Cruces;Arena;Fondo;2014;3-jul-14;No indicado;54;20.7;16.2;9.6;CA;Si;1200;20;12.8;1050;Adulto
B040714-Rste_01;24.20887;-110.50418;Rhinoptera stendachneri;Hembra;Las Cruces;Arena;Fondo;2014;3-jul-14;No indicado;;34.2;57.2;;;;2700;300;25.2;2400;Juvenil
B040714-Rste_02;24.20887;-110.50418;Rhinoptera stendachneri;Macho;Las Cruces;Arena;Fondo;2014;3-jul-14;No indicado;79.4;32.5;55;4;NC;No;2600;200;35;2200;Juvenil
B040714-Rste_03;24.20887;-110.50418;Rhinoptera stendachneri;Macho;Las Cruces;Arena;Fondo;2014;3-jul-14;No indicado;71;38;63.5;5.5;NC;No;3700;200;38.5;3200;Juvenil
B040714-Rste_04;24.20887;-110.50418;Rhinoptera stendachneri;Hembra;Las Cruces;Arena;Fondo;2014;3-jul-14;No indicado;;33;53.5;;;;2200;150;27.2;2100;Juvenil
B040714-Rste_05;24.20887;-110.50418;Rhinoptera stendachneri;Macho;Las Cruces;Arena;Fondo;2014;3-jul-14;No indicado;;33.5;57.5;4.6;NC;No;2150;220;32.2;2050;Juvenil
B040714-Rste_06;24.20887;-110.50418;Rhinoptera stendachneri;Macho;Las Cruces;Arena;Fondo;2014;3-jul-14;No indicado;74.5;32.5;55.5;3.5;NC;No;2300;180;37.9;3000;Juvenil
B040714-Rste_07;24.20887;-110.50418;Rhinoptera stendachneri;Macho;Las Cruces;Arena;Fondo;2014;3-jul-14;No indicado;;39.5;67;8;CA;Si;4200;300;66.1;3650;Adulto
B040714-Rste_08;24.20887;-110.50418;Rhinoptera stendachneri;Hembra;Las Cruces;Arena;Fondo;2014;3-jul-14;No indicado;;34.5;58.5;;;;3000;200;31.5;2500;Juvenil
B040714-Rste_09;24.20887;-110.50418;Rhinoptera stendachneri;Hembra;Las Cruces;Arena;Fondo;2014;3-jul-14;No indicado;;34;54;;;;2500;100;23.8;2150;Juvenil
B040714-Rste_10;24.20887;-110.50418;Rhinoptera stendachneri;Hembra;Las Cruces;Arena;Fondo;2014;3-jul-14;No indicado;;35.2;58;;;;3000;250;28.7;2600;Juvenil
B040714-Rste_11;24.20887;-110.50418;Rhinoptera stendachneri;Hembra;Las Cruces;Arena;Fondo;2014;3-jul-14;No indicado;;36.5;60.5;;;;2950;180;29.3;2100;Juvenil
B040714-Rste_12;24.20887;-110.50418;Rhinoptera stendachneri;Macho;Las Cruces;Arena;Fondo;2014;3-jul-14;No indicado;74.4;34.2;59;3.8;NC;No;2600;100;35.27;2300;Juvenil
B040714-Rste_13;24.20887;-110.50418;Rhinoptera stendachneri;Hembra;Las Cruces;Arena;Fondo;2014;3-jul-14;No indicado;79.6;35.5;59;;;;3100;250;33.6;2700;Juvenil
B040714-Rste_14;24.20887;-110.50418;Rhinoptera stendachneri;Hembra;Las Cruces;Arena;Fondo;2014;3-jul-14;No indicado;73;32.9;54.2;;;;2400;200;34.3;2100;Juvenil
B040714-Rste_15;24.20887;-110.50418;Rhinoptera stendachneri;Macho;Las Cruces;Arena;Fondo;2014;3-jul-14;No indicado;;45.5;73.7;10.8;CA;Si;6300;400;210;5500;Adulto
B040714-Rste_16;24.20887;-110.50418;Rhinoptera stendachneri;Macho;Las Cruces;Arena;Fondo;2014;3-jul-14;No indicado;;30.6;53.4;3;NC;No;2000;100;12.4;1700;Juvenil
B040714-Rste_17;24.20887;-110.50418;Rhinoptera stendachneri;Hembra;Las Cruces;Arena;Fondo;2014;3-jul-14;No indicado;;36.6;61.7;;;;3100;250;31.4;2750;Juvenil
B040714-Rste_18;24.20887;-110.50418;Rhinoptera stendachneri;Hembra;Las Cruces;Arena;Fondo;2014;3-jul-14;No indicado;63.5;33.5;57;;;;2600;50;29.6;2200;Juvenil
B040714-Rste_19;24.20887;-110.50418;Rhinoptera stendachneri;Hembra;Las Cruces;Arena;Fondo;2014;3-jul-14;No indicado;76.5;35;56;;;;2900;150;29.3;2500;Juvenil
B040714-Rste_20;24.20887;-110.50418;Rhinoptera stendachneri;Macho;Las Cruces;Arena;Fondo;2014;3-jul-14;No indicado;79;33.2;56;4.2;NC;No;2400;120;10;2100;Juvenil
B040714-Rste_21;24.20887;-110.50418;Rhinoptera stendachneri;Macho;Las Cruces;Arena;Fondo;2014;3-jul-14;No indicado;;44.5;74;9.5;CA;Si;5500;320;180;4900;Adulto
B040714-Rste_22;24.20887;-110.50418;Rhinoptera stendachneri;Hembra;Las Cruces;Arena;Fondo;2014;3-jul-14;No indicado;;32.4;54;;;;2300;100;29.3;1900;Juvenil
B040714-Rste_23;24.20887;-110.50418;Rhinoptera stendachneri;Macho;Las Cruces;Arena;Fondo;2014;3-jul-14;No indicado;;39;61;;;;3350;150;36.1;2900;Juvenil
B040714-Rste_24;24.20887;-110.50418;Rhinoptera stendachneri;Macho;Las Cruces;Arena;Fondo;2014;3-jul-14;No indicado;75.6;31.6;52.3;4;NC;No;2150;150;20;1950;Juvenil
B040714-Rste_25;24.20887;-110.50418;Rhinoptera stendachneri;Macho;Las Cruces;Arena;Fondo;2014;3-jul-14;No indicado;81.8;34.5;58.5;4.5;NC;No;2850;200;33.7;2500;Juvenil
B040714-Rste_26;24.20887;-110.50418;Rhinoptera stendachneri;Hembra;Las Cruces;Arena;Fondo;2014;3-jul-14;No indicado;;35;59.4;;;;2950;100;32.3;2650;Juvenil
B040714-Rste_27;24.20887;-110.50418;Rhinoptera stendachneri;Macho;Las Cruces;Arena;Fondo;2014;3-jul-14;No indicado;62.5;24.9;43;2.5;NC;No;1120;;;;Neonato
Sin código-para colección;24.20887;-110.50418;Rhizoprionodon spp.;Indeterminado;Las Cruces;Arena;Fondo;2014;3-jul-14;No indicado;;;;;;;;;;;No definido
Sin código-para colección;24.20887;-110.50418;Rhizoprionodon spp.;Indeterminado;Las Cruces;Arena;Fondo;2014;3-jul-14;No indicado;;;;;;;;;;;No definido
Sin código-viva-liberada;24.44831;-110.30106;Mobula munkiana;Hembra;La Bonanza;Arena;Fondo;2014;8-jul-14;13;68.5;32.7;45.5;;;;;;;;Juvenil
Sin código-viva-liberada;24.44831;-110.30106;Mobula munkiana;Hembra;La Bonanza;Arena;Fondo;2014;8-jul-14;13;49.5;27.7;43.4;;;;;;;;Juvenil
090714-Rest_01;24.44831;-110.30106;Rhinoptera stendachneri;Hembra;La Bonanza;Arena;Fondo;2014;8-jul-14;13;;38.5;62;;;;3500;211;36;3100;Juvenil
090714-Rest_02;24.44831;-110.30106;Rhinoptera stendachneri;Hembra;La Bonanza;Arena;Fondo;2014;8-jul-14;13;80;41.2;69;;;;4600;263;50;3950;Juvenil
090714-Rest_03;24.44831;-110.30106;Rhinoptera stendachneri;Hembra;La Bonanza;Arena;Fondo;2014;8-jul-14;13;74;41;65;;;;3900;252;68;3700;Juvenil
090714-Ddip_01;24.44831;-110.30106;Dasyatis dipterura;Macho;La Bonanza;Arena;Fondo;2014;8-jul-14;13;;45;50;14.5;CA;Si;5800;287;131;4950;Adulto
090714-Rest_04;24.44831;-110.30106;Rhinoptera stendachneri;Macho;La Bonanza;Arena;Fondo;2014;8-jul-14;13;73;37;64.5;5.7;NC;No;3500;210;50;3100;Juvenil
090714-Rest_05;24.44831;-110.30106;Rhinoptera stendachneri;Macho;La Bonanza;Arena;Fondo;2014;8-jul-14;13;58;40;61;5.5;NC;No;3600;211;49;3100;Juvenil
090714-Rest_06;24.44831;-110.30106;Rhinoptera stendachneri;Macho;La Bonanza;Arena;Fondo;2014;8-jul-14;13;75;39;67;6;NC;No;4000;265;59;3600;Juvenil
090714-Rest_07;24.44831;-110.30106;Rhinoptera stendachneri;Macho;La Bonanza;Arena;Fondo;2014;8-jul-14;13;68;39;66;6;NC;No;4000;251;58;3500;Juvenil
090714-Mmun_01;24.44831;-110.30106;Mobula munkiana;Indeterminado;La Bonanza;Arena;Fondo;2014;8-jul-14;13;;;51;;;;;;;;Juvenil
090714-Rest_08;24.44831;-110.30106;Rhinoptera stendachneri;Macho;La Bonanza;Arena;Fondo;2014;8-jul-14;13;;35.2;61;5;NC;No;3150;175;41;2780;Juvenil
090714-Rest_09;24.44831;-110.30106;Rhinoptera stendachneri;Macho;La Bonanza;Arena;Fondo;2014;8-jul-14;13;74;36;62;5;NC;No;3650;180;54;3150;Juvenil
090714-Mmun_02;24.44831;-110.30106;Mobula munkiana;Macho;La Bonanza;Arena;Fondo;2014;8-jul-14;13;71;35;56;2.5;NC;No;2100;166;13;1600;Juvenil
090714-Rest_10;24.44831;-110.30106;Rhinoptera stendachneri;Hembra;La Bonanza;Arena;Fondo;2014;8-jul-14;13;73;38.5;66;;;;4100;214;62;3500;Adulto
090714-Rest_11;24.44831;-110.30106;Rhinoptera stendachneri;Macho;La Bonanza;Arena;Fondo;2014;8-jul-14;13;;;67.5;6;PC;No;;205;50;;Juvenil
090714-Mmun_03;24.44831;-110.30106;Mobula munkiana;Hembra;La Bonanza;Arena;Fondo;2014;8-jul-14;13;71;33;52;;;;1800;135;15;1500;Juvenil
090714-Mmun_04;24.44831;-110.30106;Mobula munkiana;Macho;La Bonanza;Arena;Fondo;2014;8-jul-14;13;49.3;28.7;45.5;2.5;NC;No;;53;;;Juvenil
100714-Nent_01;24.43517;-110.28806;Narcine entemedor;Hembra;La Bonanza;Arena;Fondo;2014;9-jul-14;20.1;75;32;38;;;;6200;139;781;5200;Preñada
100714-Nent_02;24.43517;-110.28806;Narcine entemedor;Hembra;La Bonanza;Arena;Fondo;2014;9-jul-14;20.1;62;26.2;28.7;;;;2650;84;148;2800;Preñada
110714-Zexa_01;24.49206;-110.30211;Zapteryx exasperata;Hembra;La Salinita;Arena+cascajo;Fondo;2014;10-jul-14;40;75;32.5;35;;;;1800;150;102;1500;Adulto
110714-Zexa_02;24.49206;-110.30211;Zapteryx exasperata;Macho;La Salinita;Arena+cascajo;Fondo;2014;10-jul-14;40;76.5;34;36.7;17.5;CA;Si;1600;74;69;1400;Adulto
110714-Ddip_01;24.49206;-110.30211;Dasyatis dipterura;Hembra;La Salinita;Arena+cascajo;Fondo;2014;10-jul-14;40;78;41;45.5;;;;3800;182;45;3400;Juvenil
110714-Ddip_02;24.49206;-110.30211;Dasyatis dipterura;Hembra;La Salinita;Arena+cascajo;Fondo;2014;10-jul-14;40;90.5;43;45.5;;;;3750;270;35;3450;Juvenil
110714-Ucon_01;24.49206;-110.30211;Urobatis concentricus;Indeterminado;La Salinita;Arena+cascajo;Fondo;2014;10-jul-14;40;41;26.5;26.5;;;;700;37;41;600;Adulto
110714-Ddip_03;24.44461;-110.30139;Dasyatis dipterura;Macho;La Bonanza;Arena;Fondo;2014;10-jul-14;10;;55.5;56;15;CA;Si;9500;372;170;8700;Adulto
110714-Mmun_01;24.44461;-110.30139;Mobula munkiana;Indeterminado;La Bonanza;Arena;Fondo;2014;10-jul-14;10;;;51.5;;;;1100;112;10;1000;Juvenil
110714-Mmun_02;24.44461;-110.30139;Mobula munkiana;Hembra;La Bonanza;Arena;Fondo;2014;10-jul-14;10;53;28.5;45.5;;;;800;53;16;500;Juvenil
110714-Mmun_03;24.44461;-110.30139;Mobula munkiana;Macho;La Bonanza;Arena;Fondo;2014;10-jul-14;10;;43.5;64;4.2;NC;No;3300;198;36;3000;Juvenil
110714-Mmun_04;24.44461;-110.30139;Mobula munkiana;Macho;La Bonanza;Arena;Fondo;2014;10-jul-14;10;53;34.2;53.5;2.8;NC;No;1619;129;22;1500;Juvenil
190814-Slew_01;24,4075 / 24,39775;#¡VALOR!;Sphyrna lewini;Macho;El Suan;Arena;Fondo;2014;18-ago-14;20;128;;;;;;8900;435;;;Juvenil
190814-Mmun_01;24.4075;-110.30152;Mobula munkiana;Indeterminado;El Suan;Arena;Fondo;2014;18-ago-14;20;68.5;;59;;;;;;;;Juvenil
190814-Mmun_02;24.4075;-110.30152;Mobula munkiana;Macho;El Suan;Arena;Fondo;2014;18-ago-14;20;72;35.5;58.7;2.7;NC;No;2200;106;;1369;Juvenil
190814-Ddip_01;24.4075;-110.30152;Dasyatis dipterura;Macho;El Suan;Arena;Fondo;2014;18-ago-14;20;94.6;46.3;48.4;15.6;CA;Si;5100;240;99;4000;Adulto
190814-Nent_01;24.4075;-110.30152;Narcine entemedor;Macho;El Suan;Arena;Fondo;2014;18-ago-14;20;55;24.5;24;10.5;CA;Si;1300;45;13;1000;Adulto
190814-Mmun_03;24.4075;-110.30152;Mobula munkiana;Macho;El Suan;Arena;Fondo;2014;18-ago-14;20;54;37.5;60.5;3.2;NC;No;2200;132;;1700;Juvenil
190814-Nent_02;24.4075;-110.30152;Narcine entemedor;Hembra;El Suan;Arena;Fondo;2014;18-ago-14;20;73;32;35.5;;;;3700;111;100;3200;Adulto
190814-Mmun_04;24.4075;-110.30152;Mobula munkiana;Macho;El Suan;Arena;Fondo;2014;18-ago-14;20;70;38.5;58.5;;;;1900;161;;1800;Juvenil
190814-Dlon_01;24.4075;-110.30152;Dasyatis longa;Hembra;El Suan;Arena;Fondo;2014;18-ago-14;20;96;40.3;48.7;;;;2600;98;21;2300;Juvenil
190814-Mmun_05;24.4075;-110.30152;Mobula munkiana;Macho;El Suan;Arena;Fondo;2014;18-ago-14;20;89;41;64;3.8;NC;No;2500;121;;2700;Juvenil
190814-Mmun_06;24.4075;-110.30152;Mobula munkiana;Hembra;El Suan;Arena;Fondo;2014;18-ago-14;20;80;39;59.5;;;;1600;73;14;1800;Juvenil
190814-Dlon_02;24.4075;-110.30152;Dasyatis longa;Hembra;El Suan;Arena;Fondo;2014;18-ago-14;20;92;37.5;43;;;;2200;103;13;1800;Juvenil
190814-Mmun_07;24.4075;-110.30152;Mobula munkiana;Hembra;El Suan;Arena;Fondo;2014;18-ago-14;20;69;41;64;;;;2600;138;;2400;Juvenil
190814-Mmun_08;24.4075;-110.30152;Mobula munkiana;Macho;El Suan;Arena;Fondo;2014;18-ago-14;20;63.2;35;58.5;3.2;NC;No;2000;107;;1600;Juvenil
190814-Ddip_02;24.4075;-110.30152;Dasyatis dipterura;Hembra;El Suan;Arena;Fondo;2014;18-ago-14;20;93.5;49;53.5;;;;6400;376;47;5600;Juvenil
190814-Nent_03;24.4075;-110.30152;Narcine entemedor;Hembra;El Suan;Arena;Fondo;2014;18-ago-14;20;79;35;39;;;;4800;156;;4000;Adulto
190814-Ddip_03;24.4075;-110.30152;Dasyatis dipterura;Macho;El Suan;Arena;Fondo;2014;18-ago-14;20;82;44.5;48;14.3;CA;Si;4800;230;;4100;Adulto
190814-Mmun_09;24.4075;-110.30152;Mobula munkiana;Macho;El Suan;Arena;Fondo;2014;18-ago-14;20;;37;59;3.4;NC;No;2200;130;;1800;Juvenil
190814-Mmun_10;24.4075;-110.30152;Mobula munkiana;Macho;El Suan;Arena;Fondo;2014;18-ago-14;20;59.5;35;55;3.1;NC;No;1600;88;;1200;Juvenil
190814-Mmun_11;24.4075;-110.30152;Mobula munkiana;Hembra;El Suan;Arena;Fondo;2014;18-ago-14;20;;35.5;57;;;;1900;107;;1500;Juvenil
190814-Mmun_12;24.4075;-110.30152;Mobula munkiana;Macho;El Suan;Arena;Fondo;2014;18-ago-14;20;72;37.5;62;3;NC;No;2200;128;;2100;Juvenil
190814-Mmun_13;24.4075;-110.30152;Mobula munkiana;Macho;El Suan;Arena;Fondo;2014;18-ago-14;20;63.5;36;60.3;2.85;NC;No;2000;104;32;1800;Juvenil
190814-Mmun_14;24.4075;-110.30152;Mobula munkiana;Hembra;El Suan;Arena;Fondo;2014;18-ago-14;20;59;35.5;56.5;;;;1800;100;17;1800;Juvenil
190814-Mmun_15;24.4075;-110.30152;Mobula munkiana;Macho;El Suan;Arena;Fondo;2014;18-ago-14;20;;37.5;58.6;3;NC;No;1800;95;;1600;Juvenil
190814-Mmun_16;24.4075;-110.30152;Mobula munkiana;Macho;El Suan;Arena;Fondo;2014;18-ago-14;20;70;31.5;50.5;1.6;NC;No;1400;;;;Juvenil
190814-Mmun_17;24.4075;-110.30152;Mobula munkiana;Hembra;El Suan;Arena;Fondo;2014;18-ago-14;20;75;35.5;57.5;;;;2000;127;25;1700;Juvenil
190814-Mmun_18;24.4075;-110.30152;Mobula munkiana;Hembra;El Suan;Arena;Fondo;2014;18-ago-14;20;76.7;36;59.5;;;;2100;108;;1800;Juvenil
190814-Mmun_19;24.4075;-110.30152;Mobula munkiana;Hembra;El Suan;Arena;Fondo;2014;18-ago-14;20;;38.4;62.5;;;;2400;139;;2200;Juvenil
190814-Mmun_20;24.4075;-110.30152;Mobula munkiana;Macho;El Suan;Arena;Fondo;2014;18-ago-14;20;;38;61;2.9;NC;No;2100;113;25;2000;Juvenil
190814-Mmun_21;24.4075;-110.30152;Mobula munkiana;Macho;El Suan;Arena;Fondo;2014;18-ago-14;20;;36.7;58;2.9;NC;No;1400;105;;1700;Juvenil
190814-Mmun_22;24.4075;-110.30152;Mobula munkiana;Macho;El Suan;Arena;Fondo;2014;18-ago-14;20;71.5;34.4;57.5;2.9;NC;No;1700;89;;1300;Juvenil
190814-Mmun_23;24.4075;-110.30152;Mobula munkiana;Macho;El Suan;Arena;Fondo;2014;18-ago-14;20;80;36;59.5;3.2;NC;No;2100;118;;1400;Juvenil
190814-Mmun_24;24.4075;-110.30152;Mobula munkiana;Macho;El Suan;Arena;Fondo;2014;18-ago-14;20;83.5;39.5;64;2.9;NC;No;2600;148;;2200;Juvenil
190814-Mmun_25;24.4075;-110.30152;Mobula munkiana;Hembra;El Suan;Arena;Fondo;2014;18-ago-14;20;77;36.5;58;;;;2100;98;;1800;Juvenil
190814-Mmun_26;24.4075;-110.30152;Mobula munkiana;Hembra;El Suan;Arena;Fondo;2014;18-ago-14;20;;39;63;;;;2600;167;;2300;Juvenil
200814-Ddip_01;24.42553;-110.30622;Dasyatis dipterura;Macho;La Bonanza Norte;Arena;Fondo;2014;19-ago-14;15;89;43;46;12.6;CA;Si;4100;199;52;3500;Adulto
200814-Nent_01;24.42553;-110.30622;Narcine entemedor;Macho;La Bonanza Norte;Arena;Fondo;2014;19-ago-14;15;51;23;24;9.1;PC;Si;1100;28;15;900;Adulto
200814-Nent_02;24.42553;-110.30622;Narcine entemedor;Hembra;La Bonanza Norte;Arena;Fondo;2014;19-ago-14;15;69;30;33;;;;3200;97;155;1900;Adulto
200814-Nent_03;24.42553;-110.30622;Narcine entemedor;Hembra;La Bonanza Norte;Arena;Fondo;2014;19-ago-14;15;58;25;29;;;;2200;64;59;1600;Juvenil
200814-Nent_04;24.42553;-110.30622;Narcine entemedor;Macho;La Bonanza Norte;Arena;Fondo;2014;19-ago-14;15;49;20;24;9.8;PC;Si;1200;33;;1000;Adulto
200814-Nent_05;24.42553;-110.30622;Narcine entemedor;Macho;La Bonanza Norte;Arena;Fondo;2014;19-ago-14;15;56.3;25;26;9.3;CA;Si;1300;26;19;1200;Adulto
210814-Nent_01;24.42553;-110.30622;Narcine entemedor;Hembra;La Barra;Arena;Fondo;2014;20-ago-14;27;77;33;35.6;;;;3800;141;419;;Preñada
210814-Nent_02;24.42553;-110.30622;Narcine entemedor;Hembra;La Barra;Arena;Fondo;2014;20-ago-14;27;72.6;31.5;35.5;;;;4100;134;372;2900;Adulto
210814-Mmun_01;24.42553;-110.30622;Mobula munkiana;Macho;La Barra;Arena;Fondo;2014;20-ago-14;27;;38.3;61.6;3.2;NC;No;2300;100;18;2000;Juvenil
210814-Mmun_02;24.42553;-110.30622;Mobula munkiana;Macho;La Barra;Arena;Fondo;2014;20-ago-14;27;;38;61;3.3;NC;No;2600;110;18;1800;Juvenil
210814-Nent_03;24.42553;-110.30622;Narcine entemedor;Hembra;La Barra;Arena;Fondo;2014;20-ago-14;27;69.5;30;32.5;;;;3200;124;225;2900;Adulto
210814-Mmun_03;24.42553;-110.30622;Mobula munkiana;Hembra;La Barra;Arena;Fondo;2014;20-ago-14;27;75.2;37.2;57;;;;2000;91;18;1500;Juvenil
210814-Mmun_04;24.42553;-110.30622;Mobula munkiana;Macho;La Barra;Arena;Fondo;2014;20-ago-14;27;;37;58;3.5;NC;No;1700;83;23;1700;Juvenil
210814-Nent_04;24.42553;-110.30622;Narcine entemedor;Hembra;La Barra;Arena;Fondo;2014;20-ago-14;27;64;28;25.5;;;;;66;117;;Adulto
